Visa Bulletin Release Month,EB1 Final Action Date,EB2 Final Action Date,EB3 Final Action Date,EB1 Filing Date,EB2 Filing Date,EB3 Filing Date
['01Oct19'],['01Jan15'],['12May09'],['01Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Nov19'],['01Jan15'],['13May09'],['01Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Dec19'],['01Jan15'],['15May09'],['01Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Jan20'],['01Jan15'],['18May09'],['01Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Feb20'],['01Jan15'],['19May09'],['08Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Mar20'],['01Mar15'],['22May09'],['15Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Apr20'],['01May15'],['25May09'],['22Jan09'],['15Mar17'],['01Jul09'],['01Feb10']
['01May20'],['01Aug15'],['02Jun09'],['01Mar09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Jun20'],['08Jun16'],['12Jun09'],['01Apr09'],['15Mar17'],['01Jul09'],['01Feb10']
['01Jul20'],['08May17'],['08Jul09'],['01Jun09'],['01Aug17'],['15Aug09'],['01Feb10']
['01Aug20'],['08Feb18'],['08Jul09'],['01Oct09'],['01Jul18'],['15Aug09'],['01Feb10']
['01Sep20'],['01Mar18'],['08Jul09'],['01Oct09'],['01Jul18'],['15Aug09'],['01Feb10']
['01Oct20'],['01Jun18'],['01Sep09'],['15Jan10'],['01Sep20'],['15May11'],['01Jan15']
['01Nov20'],['01Dec18'],['22Sep09'],['01Mar10'],['01Sep20'],['15May11'],['01Jan15']
['01Dec20'],['01Apr19'],['01Oct09'],['15Mar10'],['01Nov20'],['15May11'],['01Jan14']
['01Jan21'],['01Sep19'],['08Oct09'],['22Mar10'],['01Nov20'],['15May11'],['01Jan14']
['01Feb21'],['01Jan20'],['12Oct09'],['01Apr10'],['01Nov20'],['15May11'],['01Jan14']
['01Mar21'],['01Aug20'],['15Jan10'],['01Jul10'],['01Mar21'],['15May11'],['01Jan14']
['01Apr21'],['01Apr21'],['01May10'],['01Sep10'],['01Apr21'],['15May11'],['01Jan14']
['01May21'],['01May21'],['01Aug10'],['01Feb11'],['01May21'],['15May11'],['01Jan14']
['01Jun21'],['01Jun21'],['01Dec10'],['01Nov11'],['01Jun21'],['01Aug11'],['01Jan14']
['01Jul21'],['01Jul21'],['01Jun11'],['01Jan13'],['01Jul21'],['01Dec11'],['01Feb14']
['01Aug21'],['01Aug21'],['01Jun11'],['01Jul13'],['01Aug21'],['01Dec11'],['01Feb14']
['01Sep21'],['01Sep21'],['01Sep11'],['01Jan14'],['01Sep21'],['01Dec11'],['01Mar14']
['01Oct21'],['01Oct21'],['01Sep11'],['01Jan14'],['01Oct21'],['08Jul12'],['08Jan14']
['01Nov21'],['01Nov21'],['01Dec11'],['15Jan12'],['01Nov21'],['08Jan13'],['22Jan12']
['01Dec21'],['01Dec21'],['01May12'],['15Jan12'],['01Dec21'],['08Jul13'],['22Jan12']
['01Jan22'],['01Jan22'],['08Jul12'],['15Jan12'],['01Jan22'],['08Jul13'],['22Jan12']
['01Feb22'],['01Feb22'],['01Jan13'],['15Jan12'],['01Feb22'],['01Sep13'],['22Jan12']
['01Mar22'],['01Mar22'],['01May13'],['15Jan12'],['01Mar22'],['01Sep13'],['22Jan12']
['01Apr22'],['01Apr22'],['08Jul13'],['15Jan12'],['01Apr22'],['01Sep14'],['22Jan12']
['01May22'],['01May22'],['01Sep13'],['15Jan12'],['01May22'],['01Dec14'],['22Jan12']
['01Jun22'],['01Jun22'],['01Sep14'],['15Jan12'],['01Jun22'],['01Dec14'],['22Jan12']
['01Jul22'],['01Jul22'],['01Dec14'],['15Jan12'],['01Jul22'],['01Jan15'],['22Jan12']
['01Aug22'],['01Aug22'],['01Dec14'],['15Feb12'],['01Aug22'],['01Jan15'],['22Feb12']
['01Sep22'],['01Sep22'],['01Dec14'],['15Feb12'],['01Sep22'],['01Jan15'],['22Feb12']
['01Oct22'],['01Oct22'],['01Apr12'],['01Apr12'],['01Oct22'],['01May12'],['01Jul12']
['01Nov22'],['01Nov22'],['01Apr12'],['01Apr12'],['01Nov22'],['01May12'],['01Jul12']
['01Dec22'],['01Dec22'],['08Oct11'],['15Jun12'],['01Dec22'],['01May12'],['01Aug12']
['01Jan23'],['01Feb22'],['08Oct11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01Feb23'],['01Feb22'],['08Oct11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01Mar23'],['01Feb22'],['08Oct11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01Apr23'],['01Feb22'],['01Jan11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01May23'],['01Feb22'],['01Jan11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01Jun23'],['01Feb22'],['01Jan11'],['15Jun12'],['01Jun22'],['01May12'],['01Aug12']
['01Jul23'],['01Feb22'],['01Jan11'],['01Jan09'],['01Jun22'],['01May12'],['01Aug12']
['01Aug23'],['01Jan12'],['01Jan11'],['01Jan09'],['01Jun22'],['01May12'],['01Aug12']
['01Sep23'],['01Jan12'],['01Jan11'],['01Jan09'],['01Jun22'],['01May12'],['01Aug12']
['01Oct23'],['01Jan17'],['01Jan12'],['01May12'],['01Jul19'],['15May12'],['01Aug12']
['01Nov23'],['01Jan17'],['01Jan12'],['01May12'],['01Jul19'],['15May12'],['01Aug12']
['01Dec23'],['01Jan17'],['01Jan12'],['01May12'],['01Jul19'],['15May12'],['01Aug12']
['01Jan24'],['01Sep20'],['01Mar12'],['01Jun12'],['01Jan21'],['15May12'],['01Aug12']
['01Feb24'],['01Sep20'],['01Mar12'],['01Jul12'],['01Jan21'],['15May12'],['01Aug12']
['01Mar24'],['01Oct20'],['01Mar12'],['01Jul12'],['01Jan21'],['15May12'],['01Aug12']
['01Apr24'],['01Mar21'],['15Apr12'],['15Aug12'],['01Apr21'],['15May12'],['15Sep12']
['01May24'],['01Mar21'],['15Apr12'],['15Aug12'],['01Apr21'],['15May12'],['15Sep12']
['01Jun24'],['01Mar21'],['15Apr12'],['22Aug12'],['01Apr21'],['15May12'],['15Sep12']
['01Jul24'],['01Feb22'],['15Jun12'],['22Sep12'],['08Feb22'],['22Jun12'],['01Oct12']
['01Aug24'],['01Feb22'],['15Jul12'],['22Oct12'],['08Feb22'],['22Jul12'],['01Nov12']
['01Sep24'],['01Feb22'],['15Jul12'],['22Oct12'],['08Feb22'],['22Jul12'],['01Nov12']
['01Oct24'],['01Feb22'],['15Jul12'],['01Nov12'],['15Apr22'],['01Jan13'],['08Jun13']
['01Nov24'],['01Feb22'],['15Jul12'],['01Nov12'],['15Apr22'],['01Jan13'],['08Jun13']
['01Dec24'],['01Feb22'],['01Aug12'],['08Nov12'],['15Apr22'],['01Jan13'],['08Jun13']
['01Jan25'],['01Feb22'],['01Oct12'],['01Dec12'],['15Apr22'],['01Jan13'],['08Jun13']
